timestamp,host,status,response_time_ms
2025-09-26 20:47:46,10.31.0.1,down,
2025-09-26 20:47:57,10.21.0.1,down,
2025-09-26 20:47:57,www.iwcs.k12.va.us,up,54.91
2025-09-26 20:47:57,8.8.8.8,up,64.16
2025-09-26 20:48:38,10.31.0.1,down,
2025-09-26 20:48:49,10.21.0.1,down,
2025-09-26 20:48:49,www.iwcs.k12.va.us,up,50.88
2025-09-26 20:48:49,8.8.8.8,up,45.27
2025-09-26 20:49:30,10.31.0.1,down,
2025-09-26 20:49:41,10.21.0.1,down,
2025-09-26 20:49:41,www.iwcs.k12.va.us,up,98.99
2025-09-26 20:49:41,8.8.8.8,up,46.44
2025-09-26 20:50:22,10.31.0.1,down,
2025-09-26 20:50:33,10.21.0.1,down,
2025-09-26 20:50:33,www.iwcs.k12.va.us,up,47.79
2025-09-26 20:50:33,8.8.8.8,up,45.17
2025-09-26 20:51:14,10.31.0.1,down,
2025-09-26 20:51:26,10.21.0.1,down,
2025-09-26 20:51:26,www.iwcs.k12.va.us,up,48.83
2025-09-26 20:51:26,8.8.8.8,up,39.71
2025-09-26 20:52:07,10.31.0.1,down,
2025-09-26 20:52:18,10.21.0.1,down,
2025-09-26 20:52:18,www.iwcs.k12.va.us,up,55.41
2025-09-26 20:52:18,8.8.8.8,up,50.35
2025-09-26 20:52:59,10.31.0.1,down,
2025-09-26 20:53:10,10.21.0.1,down,
2025-09-26 20:53:10,www.iwcs.k12.va.us,up,46.99
2025-09-26 20:53:10,8.8.8.8,up,41.69
2025-09-26 20:53:51,10.31.0.1,down,
2025-09-26 20:54:02,10.21.0.1,down,
2025-09-26 20:54:03,www.iwcs.k12.va.us,up,1101.47
2025-09-26 20:54:03,8.8.8.8,up,41.37
2025-09-26 20:54:44,10.31.0.1,down,
